male.id, female.id, start.time, end.time, proximity
414, 1027, 4.20042, Inf, 0
308, 788, 4.20463, 4.22253, 2
386, 642, 4.20591, 5.43493, 1
358, 605, 4.20883, 4.23692, 3
158, 700, 4.21297, 7.38365, 0
332, 997, 4.2137, 4.3772, 0
309, 682, 4.2153, 4.59995, 3
268, 802, 4.22481, 4.64463, 2
431, 630, 4.23169, 4.75695, 2
147, 828, 4.23392, 4.97841, 0
474, 729, 4.23521, 6.06528, 0
88, 915, 4.23937, 4.38298, 0
498, 751, 4.24569, 5.58147, 2
441, 631, 4.25524, Inf, 0
140, 754, 4.27456, Inf, 0
350, 964, 4.27595, 10.9137, 0
402, 736, 4.27888, 4.38095, 2
361, 832, 4.29837, 4.37077, 1
15, 722, 4.3006, Inf, 0
451, 1034, 4.30326, 5.60843, 1
52, 908, 4.30385, 4.33923, 0
24, 702, 4.31731, 4.80458, 0
106, 637, 4.3178, 4.34191, 0
420, 1015, 4.32124, 4.80344, 0
69, 854, 4.3356, 8.44194, 3
442, 761, 4.33869, 5.97616, 0
220, 618, 4.34569, 4.80402, 1
283, 947, 4.35439, 6.1624, 0
416, 1029, 4.36633, 6.88095, 0
56, 984, 4.36801, 5.64617, 1
500, 695, 4.37187, 6.07525, 0
312, 929, 4.37784, 5.57869, 3
157, 922, 4.38457, 4.3983, 1
489, 702, 4.3918, 5.05779, 2
308, 926, 4.39459, Inf, 0
459, 915, 4.40127, 4.47782, 0
142, 899, 4.41937, 4.45579, 1
376, 917, 4.42044, 8.40637, 0
105, 801, 4.42174, 4.49471, 0
157, 613, 4.42187, 4.9106, 1
16, 862, 4.43745, 4.60514, 0
49, 707, 4.44054, 5.22925, 0
481, 658, 4.44461, 4.57681, 2
326, 921, 4.44477, 9.19904, 2
284, 1081, 4.45756, 5.0904, 1
439, 663, 4.46451, 4.59724, 0
361, 650, 4.46664, 7.51505, 1
460, 1034, 4.46919, 5.01367, 0
216, 728, 4.48005, Inf, 0
97, 880, 4.4809, 4.78955, 2
110, 1020, 4.48341, 9.99206, 0
493, 702, 4.49109, 4.57558, 0
96, 844, 4.49444, 6.40472, 0
361, 876, 4.50246, 4.58975, 2
234, 653, 4.5062, 4.55385, 0
402, 737, 4.50854, 4.54148, 0
107, 932, 4.52164, 4.756, 0
384, 951, 4.52247, 5.14985, 1
172, 1073, 4.54046, 4.89057, 0
451, 781, 4.54894, Inf, 0
215, 718, 4.55512, 5.25167, 0
233, 996, 4.55947, 4.65808, 1
263, 908, 4.56087, 4.6473, 2
52, 605, 4.56155, 4.60996, 1
224, 669, 4.56888, 5.13464, 3
103, 650, 4.56946, 4.75102, 1
473, 853, 4.58591, 7.00223, 0
95, 1003, 4.59297, 5.04638, 0
467, 1029, 4.5984, 5.14803, 0
3, 1041, 4.59851, 4.59989, 1
163, 827, 4.60985, 4.6214, 1
383, 701, 4.61779, 4.64427, 0
92, 938, 4.61892, 5.26173, 0
116, 682, 4.62934, 4.64916, 3
240, 825, 4.63297, 4.90637, 0
234, 892, 4.6354, 4.88698, 1
57, 812, 4.63777, 4.74407, 1
309, 669, 4.63818, 4.78772, 3
178, 744, 4.64715, 7.75653, 0
149, 648, 4.65449, 4.72061, 0
3, 742, 4.66532, 5.54606, 0
336, 1002, 4.66931, 10.3558, 0
88, 783, 4.67089, 4.7802, 0
134, 682, 4.67315, Inf, 0
416, 1060, 4.67409, 4.75275, 0
472, 849, 4.67518, 5.26417, 2
427, 850, 4.68377, 5.11492, 0
486, 801, 4.68486, Inf, 0
393, 710, 4.6874, 4.78017, 2
119, 795, 4.69787, 4.89653, 1
338, 865, 4.69828, 5.47885, 0
402, 605, 4.70022, 4.83527, 3
362, 953, 4.70216, 10.1215, 0
9, 674, 4.71328, Inf, 0
42, 1093, 4.71546, 4.71589, 2
362, 1024, 4.71972, 4.80741, 0
66, 716, 4.72321, 5.22774, 0
144, 901, 4.72343, 4.799, 1
417, 908, 4.73168, 5.04768, 1
4, 753, 4.73746, 4.95612, 0
434, 863, 4.74613, 5.70917, 1
142, 874, 4.76214, 5.34006, 3
38, 920, 4.77349, 5.0427, 0
475, 1035, 4.77662, 4.97119, 1
117, 729, 4.77948, 5.62672, 2
257, 633, 4.79455, 7.02502, 2
403, 923, 4.79476, 9.01939, 1
382, 915, 4.79688, 5.4441, 0
393, 605, 4.80363, 4.8108, 3
327, 867, 4.80976, 4.82421, 2
213, 778, 4.81245, 5.82253, 0
221, 801, 4.81487, Inf, 0
487, 874, 4.81885, 6.02837, 0
459, 906, 4.81984, 4.88039, 3
304, 872, 4.82001, 4.84503, 0
365, 785, 4.82291, Inf, 0
405, 731, 4.82561, 5.93054, 0
354, 811, 4.82878, 4.85164, 3
105, 688, 4.83593, 4.97745, 2
254, 922, 4.84082, 5.91944, 0
304, 959, 4.84794, 4.96268, 0
220, 1087, 4.86043, 5.74226, 0
438, 1054, 4.86049, 5.36322, 0
324, 996, 4.86269, 4.99029, 0
27, 730, 4.86692, 5.21724, 2
449, 1015, 4.88411, 5.1774, 0
101, 901, 4.8846, 4.9161, 1
234, 1039, 4.89251, 5.01792, 3
100, 1066, 4.89476, 5.73325, 0
47, 837, 4.91259, 6.7883, 0
494, 892, 4.91883, 5.38395, 0
127, 884, 4.92118, 5.62281, 0
43, 994, 4.92269, 5.42449, 0
224, 888, 4.92513, 4.97348, 3
168, 991, 4.93914, 8.21606, 0
296, 1035, 4.94623, 5.06407, 1
358, 868, 4.95119, 4.95538, 1
302, 903, 4.95239, 5.01548, 0
287, 605, 4.95331, 4.9647, 3
213, 906, 4.95398, 5.88527, 2
44, 637, 4.95836, 5.1332, 1
298, 673, 4.9594, 4.97022, 0
116, 1017, 4.96233, 5.27464, 1
46, 730, 4.96683, 8.47748, 0
51, 616, 4.96903, 11.5095, 0
335, 753, 4.97101, 7.48882, 0
163, 605, 4.9744, 5.33041, 3
247, 924, 4.97543, 5.04104, 2
75, 1054, 4.98119, 4.99212, 0
52, 951, 4.9819, 5.64688, 0
115, 1073, 4.98749, 8.54022, 1
214, 750, 4.99141, 12.6346, 1
106, 1093, 5.00926, 5.13126, 1
406, 1002, 5.01111, 6.20313, 3
327, 1040, 5.01125, Inf, 0
100, 901, 5.02134, 5.02372, 2
100, 862, 5.02407, 5.04327, 3
241, 876, 5.02515, 5.08515, 1
492, 828, 5.02848, 5.10928, 0
220, 1008, 5.03348, 5.03454, 1
154, 903, 5.04638, 5.6508, 1
389, 673, 5.04773, Inf, 0
413, 739, 5.05927, 5.10345, 1
236, 996, 5.06437, 5.11304, 1
40, 932, 5.07144, 5.46109, 0
459, 825, 5.07483, 5.31593, 3
252, 648, 5.07911, 5.17495, 0
481, 736, 5.09526, 7.21954, 1
208, 703, 5.09708, 5.10779, 1
304, 648, 5.11287, 5.64918, 0
401, 824, 5.11469, 5.13785, 2
125, 911, 5.11617, 5.35803, 1
75, 1046, 5.12462, 9.67607, 0
420, 1035, 5.12638, 5.62986, 1
159, 673, 5.12976, 5.2621, 0
383, 935, 5.13289, 5.18171, 0
332, 1093, 5.13516, 6.42915, 0
105, 686, 5.13741, 8.61312, 0
268, 862, 5.13925, 5.19252, 2
240, 788, 5.14039, 6.35885, 0
119, 702, 5.1416, 6.53137, 1
6, 908, 5.14402, 5.21431, 0
250, 812, 5.14506, 5.41352, 3
92, 1081, 5.14729, 5.90809, 0
445, 770, 5.14788, 8.26136, 2
251, 749, 5.15148, 6.35635, 0
208, 1073, 5.15351, 5.71078, 3
263, 653, 5.15797, 5.17569, 0
139, 649, 5.16276, 5.18714, 0
45, 1039, 5.16387, 5.23199, 3
441, 613, 5.17354, 5.25785, 0
365, 942, 5.17395, 8.22095, 0
298, 943, 5.174, 6.55126, 1
224, 837, 5.18378, 5.23215, 2
107, 920, 5.19126, 5.68612, 0
268, 832, 5.19931, 7.74831, 0
103, 850, 5.20034, 5.20862, 1
485, 992, 5.20451, Inf, 0
163, 630, 5.20521, 8.66144, 2
431, 811, 5.22662, 5.33212, 3
393, 688, 5.25859, 5.49082, 3
278, 698, 5.26024, Inf, 0
88, 933, 5.26612, 5.46851, 0
149, 816, 5.27064, 5.34117, 0
406, 1045, 5.27316, 5.31907, 3
324, 935, 5.27634, 5.62127, 0
144, 1037, 5.27709, 6.63992, 1
247, 1030, 5.27793, 5.96104, 0
349, 1022, 5.27875, 5.32698, 1
309, 1015, 5.28569, 5.95466, 1
493, 613, 5.29487, 5.6124, 0
116, 884, 5.29562, 5.65728, 2
10, 862, 5.29784, 5.39965, 3
488, 1016, 5.31022, 10.9863, 0
496, 1016, 5.32116, 5.35106, 0
38, 846, 5.32317, 5.33772, 1
487, 616, 5.32331, 5.58966, 0
382, 637, 5.32419, 5.50433, 1
2, 651, 5.32891, 5.37841, 1
19, 996, 5.32926, 9.85385, 0
141, 824, 5.33247, 6.56058, 1
42, 837, 5.33286, 5.3882, 1
32, 698, 5.33744, 6.33526, 0
38, 795, 5.33778, 5.5805, 1
341, 653, 5.34204, 5.71998, 0
7, 901, 5.34775, 5.3799, 2
465, 816, 5.35417, 5.50504, 3
100, 672, 5.35444, 5.36211, 3
361, 863, 5.36068, 5.83087, 2
312, 1022, 5.36384, 5.37175, 1
29, 1060, 5.36534, 5.51172, 1
25, 776, 5.3676, 5.82287, 0
234, 1058, 5.38086, 5.68749, 2
252, 885, 5.38606, 5.81131, 0
372, 938, 5.38696, 7.37613, 1
475, 1099, 5.38944, 6.205, 0
443, 964, 5.39104, 5.54365, 0
380, 707, 5.39863, 5.65339, 0
243, 807, 5.40437, 5.53806, 0
488, 862, 5.41388, 5.44869, 1
111, 873, 5.41688, 9.1388, 0
274, 753, 5.42534, 5.54511, 1
409, 811, 5.4271, 6.84692, 0
304, 899, 5.4405, 5.74711, 0
349, 825, 5.44346, 6.24493, 3
474, 985, 5.44592, 5.75808, 1
266, 824, 5.46236, 5.89189, 0
233, 908, 5.46327, 5.66606, 1
473, 713, 5.46343, 6.09255, 0
66, 806, 5.46661, 6.19792, 0
298, 994, 5.47492, 6.70249, 0
310, 932, 5.48023, 5.97042, 1
427, 901, 5.48324, 6.13299, 0
180, 1079, 5.48476, 6.0077, 1
28, 703, 5.49217, 6.90255, 0
147, 827, 5.49587, 5.72385, 0
16, 653, 5.50163, 5.78476, 0
338, 802, 5.51199, 8.5597, 1
496, 935, 5.51372, 5.60247, 0
253, 861, 5.52145, Inf, 1
288, 742, 5.52699, 5.96281, 0
449, 1007, 5.53421, 6.50095, 0
70, 908, 5.53797, 5.63092, 0
465, 915, 5.54431, 5.55986, 0
469, 1032, 5.5489, 8.33384, 2
472, 710, 5.55118, 5.9762, 2
399, 604, 5.55458, 6.8656, 1
287, 869, 5.5645, 5.6005, 3
383, 846, 5.5692, 6.40977, 0
284, 740, 5.56953, 5.72866, 1
51, 625, 5.57345, 5.8694, 2
250, 943, 5.57777, 5.64606, 3
144, 816, 5.59014, 5.6325, 2
15, 912, 5.59269, 5.86873, 0
116, 997, 5.59355, 5.78911, 3
381, 646, 5.60693, 5.91488, 0
170, 669, 5.61483, 8.41477, 3
249, 844, 5.62298, 5.70437, 0
490, 949, 5.62526, 5.67606, 0
393, 650, 5.62681, 5.71045, 1
95, 697, 5.62864, 8.72006, 3
147, 996, 5.63904, 5.65658, 0
117, 1018, 5.64531, 6.01068, 1
331, 795, 5.64917, 6.52874, 1
21, 1039, 5.65051, 5.96102, 0
420, 747, 5.66159, 6.87228, 1
178, 867, 5.6691, 6.84707, 2
10, 615, 5.68168, 8.39829, 1
382, 854, 5.69271, 5.75278, 2
354, 709, 5.69432, 9.22266, 3
492, 830, 5.69481, 6.19603, 0
386, 939, 5.69661, 6.44602, 0
431, 1017, 5.69735, 5.72127, 1
235, 1017, 5.71727, 5.73235, 0
380, 751, 5.71784, 5.79083, 1
312, 682, 5.73027, 6.15456, 3
172, 807, 5.73437, 5.91232, 0
208, 983, 5.74074, 5.80567, 3
313, 1005, 5.74771, 6.95678, 0
103, 812, 5.75448, 5.97984, 3
417, 951, 5.76278, 6.17963, 0
159, 651, 5.77192, 5.87293, 1
490, 802, 5.77282, 6.1589, 1
250, 901, 5.78044, 5.86842, 2
157, 1028, 5.79393, 5.87994, 2
465, 1035, 5.79546, 7.14831, 3
35, 997, 5.80081, 5.84455, 3
134, 862, 5.80327, 5.8369, 0
195, 702, 5.80379, 5.84752, 2
19, 908, 5.81515, 6.0394, 0
42, 1017, 5.8386, 7.52117, 0
354, 949, 5.85688, 7.048, 1
252, 1034, 5.88878, 6.16607, 0
460, 862, 5.88899, 5.90489, 0
441, 997, 5.89067, 6.27707, 2
380, 785, 5.89094, 5.94797, 1
44, 651, 5.89495, 5.9067, 1
83, 1093, 5.90398, 6.24427, 0
25, 642, 5.90775, Inf, 0
14, 637, 5.90954, 6.42617, 1
439, 874, 5.91067, 5.93769, 0
367, 1032, 5.9167, 6.05551, 2
92, 933, 5.91938, 5.93519, 0
83, 816, 5.91941, 6.92902, 0
3, 707, 5.92273, 6.35658, 0
285, 891, 5.92476, 8.9385, 0
44, 730, 5.9347, 5.98304, 1
402, 915, 5.93978, 6.97341, 0
434, 876, 5.95504, 7.44714, 1
401, 1003, 5.96625, 6.14982, 0
234, 912, 5.9755, 9.93556, 0
208, 920, 5.984, 6.17628, 1
459, 1065, 5.99894, 6.3619, 1
156, 862, 6.00282, 6.0226, 3
475, 783, 6.00514, 7.79579, 0
44, 1015, 6.00846, 6.41898, 0
28, 992, 6.01045, 7.47347, 0
251, 863, 6.01246, 6.05792, 0
287, 935, 6.01778, 6.06013, 2
88, 1024, 6.01959, 7.76005, 0
380, 1093, 6.02026, 6.31259, 2
318, 1079, 6.02605, 6.76547, 2
324, 1030, 6.02803, 6.04872, 0
445, 871, 6.03278, 6.18796, 0
70, 679, 6.03356, 6.18553, 0
6, 823, 6.03403, Inf, 0
393, 908, 6.04083, 6.06987, 2
186, 823, 6.04326, 6.0647, 2
52, 932, 6.04709, 6.33668, 0
127, 1016, 6.05029, 6.08648, 0
263, 1029, 6.05746, 7.89617, 2
316, 863, 6.05802, 7.83638, 0
101, 719, 6.06867, 6.53012, 0
162, 727, 6.07509, 6.37197, 1
16, 911, 6.07633, 12.4725, 0
431, 922, 6.08095, 6.20557, 1
413, 892, 6.08712, 6.41663, 0
381, 718, 6.08977, 6.59773, 0
494, 1028, 6.10118, Inf, 0
2, 872, 6.10129, 6.15368, 0
35, 938, 6.10429, 6.12586, 3
